track,artist,lyrics,polarity,subjectivity
Dear god,Tate McRae,"[Intro]
(Yeah)

[Verse 1]
Lay there
Back of my mind, he stay there
Pops up time to time like, ""Hey there""
Haven't seen you in two years, but, baby, we still breathe the same air
New love and it's almost workin'
And I never used to be this person
But here I am
Hands on my chest and my knees on the carpet
Hopin' you'll stop it (Ah)

[Chorus]
Dear God
Take his kiss right out of my brain
Take the pleasure out of my pain
Take the way he used to say, ""I love you""
Dear God
Get his imprint out of my bed
Take ""amazing"" out of our sex
Take away the way I still might want to

[Post-Chorus]
Facts
All the memories, babe, I play 'em all, play 'em all, play 'em all, play 'em all back
To erase his name, I'd give it all, give it all, give everything that I have
All my no-good thoughts, I pray about, pray about, pray about, pray about that
Take away the way I still might want to

[Verse 2]
Hottest
Thing I've ever touched, just bein' honest
Really tryna be good, I promise
That's why I'm here
With my hands on my chest and my knees on the carpet
Hopin' you'll stop it (Ah)

[Chorus]
Dear God
Take his kiss right out of my brain
Take the pleasure out of my pain
Take the way he used to say, ""I love you""
Dear God
Get his imprint out of my bed
Take ""amazing"" out of our sex
Take away the way I still might want to (No)

[Post-Chorus]
Facts
All the memories, babe, I play 'em all, play 'em all, play 'em all, play 'em all back
To erase his name, I'd give it all, give it all, give everything that I have
All my no-good thoughts, I pray about, pray about, pray about, pray about that
Take away the way I still might want to

[Bridge]
Dear God, uh, uh, uh-uh
Dear God, uh, uh

[Outro]
Dear God, I hope you're listenin'
(I play 'em all, play 'em all, play 'em all, play 'em all back)
I pray it ain't him I'm missin'
Dear God, I hope you're listenin'
(I play 'em all, play 'em all, play 'em all, play 'em all back)
I pray it ain't him I'm missin'
Dear God, I hope you're listenin'
Dear God, dear God, dear God
I'd give it all, give it all, give everything that I have
Dear God, dear God, dear God (I pray about, pray about, pray about)",0.28869365928189455,0.40888082505729567
Paro,Aditya Rikhari,"Ke ab kuch hosh nahi hai
Tu mujhko pila degi kya
Mein pi kar jo bhi kahunga
Tu subha bhula degi kya
Tu bahon mein rakhle do pal
Phir chahe dur hata de
Mein godh mein rakh lun agar sar
Tu mujhko sula degi kya
Jaati nahi teri yaadein kasam se
Ke dil ka bharam hai tu
Baaki nahi ab koi sharam jana
Ek dharam hai tu
Jo kehti thi mat piyo na
Meri jaan zeher hai yeh
Usey dekhta hoon koi gair chhuye
Ab aur zeher kya piyu",0.0,0.0
WE PRAY - Jasleen Royal Version,Coldplay,"[Intro: Little Simz, Elyanna, Chris Martin & Burna Boy]
Woah
Oh
And so we pray
Ooh

[Verse 1: Chris Martin]
I pray that I don't give up, pray that I do my best
Pray that I can lift up, pray my brother is blessed
Prayin' for enough, pray Virgilio wins
Pray I judge nobody and forgive me my sins
I pray we make it, pray my friend will pull through
Pray as I take it unto others, I do
Prayin' on your love, we pray with every breath
Though I'm in the valley of the shadow of death

[Chorus: Chris Martin, Chris Martin & Little Simz, Burna Boy]
And so we pray
For someone to come and show me the way
And so we pray
For some shelter and some records to play
And so we pray
We'll be singing ""Baraye""
Pray that we make it to thе end of the day
And so we pray
I know somеwhere that Heaven is waitin'
And so we pray
I know somewhere there's something amazin'
And so we pray
I know somewhere we'll feel no pain
Until we make it to the end of the day

[Verse 2: Jasleen Royal, Burna Boy]
रातों के पीछे बैठी छुप के सुबह
मैंने जो पूछा, तूने दी थी जुबाँ
उसने कहा, ""ख़ुद को जगा
दुआ का आँखों में तू दिया तो जला दे ज़रा""
तेरी तो आँखों में हैं आसमान भरा (Ah, yeah, ah, yeah)
तारों की धूल से तू भी तो बना  (Ah, yeah, ah, yeah)
तनहा कहाँ, संग हैं यहाँ
झुका सा सिर तो दुआ में तू उठा दे ज़रा

[Chorus: Chris Martin, Chris Martin & Little Simz, Burna Boy]
And so we pray
For someone to come and show me the way
And so we pray
For some shelter and some records to play
And so we pray
We'll be singin' ""Baraye""
Pray that we make it to the end of the day
And so we pray
I know somewhere that Heaven is waitin'
And so we pray
I know somewhere there's something amazin'
And so we pray
I know somewhere we'll feel no pain
Until we make it to the end of the day

[Bridge: Burna Boy]
On my knees, I pray, as I sleep and wake
'Cause inside my head is a frightening place
Keep a smiling face, only by His grace
'Cause love's more than I can take, hey

[Chorus: Chris Martin & Little Simz, Elyanna, Burna Boy, Chris Martin, Elyanna & TINI]
And so we pray
And so we pray
And so we pray
And so we pray
And so we pray
We'll be singin' ""Baraye""
Till nobody's in need and everybody can say (Oh)

[Post-Chorus: Choir, Little Simz, Burna Boy, Burna Boy & Choir]
La-la-la, la-la, la-la (La-la)
La-la-la, la-la, la-la (La-la-la, la)
La-la-la, la-la, la-la (Sing it to me)
La-la-la, la-la, we pray, we pray
La-la-la, la-la, la-la (I know somewhere that Heaven is waitin', is waitin')
La-la-la, la-la, la-la (I know somewhere there's something amazin', something amazin')
La-la-la, la-la, la-la (Until we feel no pain)
La-la-la, la-la, we pray, we pray, we pray

[Outro: Chris Martin & Jasleen Royal]
La-la-la, la-la, la-la
La-la-la, la-la, la-la
La-la-la, la-la, la-la
La-la-la, la-la, we pray, we pray, we pray",0.10480769230769231,0.5538461538461538
Houston,Still Woozy,"[Verse 1]
You had just left your home
Still pink out on your own
When you were struck down low
Tried too hard to fit in
Were never one of them
Started to forget the real you

[Pre-Chorus]
I don't want you to say
That you'll get right
I don't need a lie tonight
Might not be your fault
But it's not mine
Please just fall in line

[Chorus]
Make you better
Make you right
I'd wave my hand and
You'd be alright
A little too late
For that, it's true
But I won't give up on you
(You)

[Verse 1]
You called me yesterday
What were you tryna say
Sounded so scrambled and frantic
More than a couple years
Since I could hear you clear
Starting to forget the old you

[Pre-Chorus]
I don't want you to say
That you'll get right
I don't need a lie tonight
Might not be your fault
But it's not mine
Maybe I'll stop tryin'

[Chorus]
Make you better
Make you right
I'd wave my hand and
You'd be alright
A little too late for that it's true
But I won't pull the plug on you

[Outro]
It is a little too late for that, it's true
But I won't give up on you
I'm always coming back
To places that we sat
When we spoke of our future
May not have ended up
How we dreamt it up
But maybe that's ok",0.1194378306878307,0.4443915343915344
Solo,Myles Smith,"[Verse 1]
You promised a lifetime but left in a moment
I wonder if you even think about me
Throw me a lifeline 'cause I'm barely floating
Stranded and broken

[Pre-Chorus]
You know you got me lost in the dark
Is it too late? Is it too late for us?
You know you got me lost in my heart
Is it too late? Is it too late for us?

[Chorus]
Oh, why'd you get me so high
To leave me so low? To leave me solo?
Oh, I was wasting my time
Hoping you'd call, but damn, you're so cold
Oh, why'd you make me feel safe
Just to walk away? Just to let me go?
Oh, why'd you get me so high
To leavе me so low? To leave mе solo?

[Verse 2]
You looked like an angel, thought I was in heaven
But now I'm just falling without you with me
I thought I was able to learn from my lessons
Was trying my best but

[Pre-Chorus]
You know you got me lost in the dark
Is it too late? Is it too late for us?
You know you got me lost in my heart
Is it too late? Is it too late for us?

[Chorus]
Oh, why'd you get me so high
To leave me so low? To leave me solo?
Oh, I was wasting my time
Hoping you'd call, but damn, you're so cold
Oh, why'd you make me feel safe
Just to walk away? Just to let me go?
Oh, why'd you get me so high
To leave me so low? To leave me solo?

[Bridge]
Oh-ooh, ooh
I'll never love again, I'll never love again
Oh-ooh, ooh
I'll never love again, I'll never love again

[Chorus]
Oh, why'd you get me so high
To leave me so low? To leave me solo?
Oh, I was wasting my time
Hoping you'd call, but damn, you're so cold
Oh, why'd you make me feel safe
Just to walk away? Just to let me go?
Oh, why'd you get me so high
To leave me so low? To leave me solo?",-0.051081081081081094,0.5125675675675676
2 hands,Tate McRae,"[Intro]
I want your two hands
Don't ever let me go
I want your two hands
Two hands on me

[Verse 1]
You don't need to tell me you love me
Seventeen times in a day (Yeah)
I don't need to hear I'm your number one
And everybody's second place
You don't gotta shit-talk your last girl
Sayin' she don't compare to me (Yeah)
Baby, I ain't saying you don't know me well, it's
Just not the shit I need

[Pre-Chorus]
'Cause they just words, they don't mean much
(They don't mean much, no, no)
Need a little less talk
And a lot more touch

[Chorus]
I just want your two hands on me
At all times, baby
If you let go (I want your two hands)
Better put 'em right back fast
Want your two hands on mе
Like my life needs savin'
Let 'еm all know (I want your two hands)
Can you do it like that? Yeah

[Verse 2]
You ain't gonna win with the jewelry
Don't need the cute fuckin' names (No)
We don't gotta live out of hotels (Mm-mm)
We could do it in my room all day
And I know you could spoil me plenty more
But I don't really trust that anymore
And I already got that bag for free (Ah)
But if you bought it, then that's sweet (Sweet)

[Pre-Chorus]
Still, they're just things, they don't mean much
(They don't mean much, no, no)
Seen a real good thing
Turn to real fucked up (Mm, ah)

[Chorus]
I just want your two hands on me
At all times, baby
If you let go (I want your two hands)
Better put 'em right back fast
Want your two hands on me
Like my life needs savin'
Let 'em all know (I want your two hands)
Can you do it like that? Yeah

[Post-Chorus]
'Cause I want 'em all to see
You look good on top of me
At this time at night, I need
Not one, not three (Yeah)
Just your two hands on me
Like my life needs savin'
Let 'em all know (I want your two hands)
Can you do it like that? Yeah

[Bridge]
I want your two hands (Mm, woah)
Don't ever let me go
I want your two hands
Two hands on me
(I want your two) I want your two hands
(Don't let go, no) Don't ever let me go
(I want your two hands) I want your two hands
(Can you do it like that?) Two hands on me

[Chorus]
I just want your two hands on me
At all times, baby
If you let go (I want your two hands)
Better put 'em right back fast (Oh-oh)
Want your two hands on me
Like my life needs savin'
Let 'em all know (I want your two hands)
Can you do it like that? Yeah (Like that, like that)

[Post-Chorus]
'Cause I want 'em all to see (Yeah)
You look good on top of me
At this time at night, I need
Not one, not three
Just your two hands on me
Like my life needs savin'
Let 'em all know (I want your two hands)
Can you do it like that? Yeah (Alright)",0.21193511772780066,0.4826945412311266
Achilles Come Down,Gang of Youths,"[Verse 1]
Achilles, Achilles, Achilles, come down
Won't you get up off, get up off the roof?
You're scaring us and all of us, some of us love you
Achilles, it's not much but there's proof
You crazy-ass cosmonaut, remember your virtue
Redemption lies plainly in truth
Just humour us, Achilles, Achilles, come down
Won’t you get up off, get up off the roof?
[Sample]
Je vois que beaucoup de gens meurent, parce qu'ils estiment que la vie ne vaut pas la peine d'être vécue. J'en vois d'autres, qui se font paradoxalement tuer pour des idées, pour des illusions, qui leurs donnent une raison de vivre (ce, qu'on appelle une raison de vivre est en même temps une excellente raison de mourir)

[Verse 2]
Achilles, Achilles, Achilles, come down
Won't you get up off, get up off the roof?
The self is not so weightless, nor whole and unbroken
Remember the pact of our youth
Where you go, I'm going, so jump and I'm jumping
Since there is no me without you
Soldier on, Achilles, Achilles, come down
Won't you get up off, get up off the roof?

[Pre-Chorus]
Loathe the way they light candles in Rome
But love the sweet air of the votives
Hurt and grieve but don’t suffer alone
Engage with the pain as a motive

[Chorus]
Today, of all days, see
How the most dangerous thing is to love
How you will heal and you’ll rise above
[Sample]
D'un gérant d'immeuble qui s'était tué on disait un jour qu'il avait perdu sa fille depuis cinq ans, qu'il avait beaucoup changé depuis et que cette histoire l'avait-
[Verse 3]
Achilles, Achilles, Achilles, jump now
You are absent of cause or excuse
So self-indulgent and self-referential
No audience could ever want you
You crave the applause yet hate the attention
Then miss it, your act is a ruse
It is empty, Achilles, so end it all now
It's a pointless resistance for you
[Sample]
Ce qui déclenche la crise est presque toujours incontrôlable. Les journaux parlent souvent de « chagrins intimes » ou de « maladie incurable ». Ces explications sont valables, mais il faudrait savoir si le jour même un ami du désespéré ne lui a pas parlé sur un ton indifférent. Celui‑là est le-

[Verse 4]
Achilles, Achilles, just put down the bottle
Don't listen to what you've consumed
It’s chaos, confusion and wholly unworthy
Of feeding and it's wholly untrue
You may feel no purpose nor a point for existing
It's all just conjecture and gloom
And there may not be meaning, so find one and seize it
Do not waste yourself on this roof

[Pre-Chorus]
Hear those bells ring deep in the soul
Chiming away for a moment
Feel your breath course frankly below
And see life as a worthy opponent
[Chorus]
Today, of all days, see
How the most dangerous thing is to love
How you will heal and you’ll rise above
Crowned by an overture bold and beyond
Ah, it’s more courageous to overcome
[Sample]
Les souvenirs d'une patrie perdue, l'espoir d'une terre promise. Ce divorce entre l'homme de sa vie-
[Bridge]
You want the acclaim, the mother of mothers
(It's not worth it, Achilles)
More poignant than fame or the taste of another
(Don't listen, Achilles)
But be real and just jump, you dense motherfucker
(You're worth more, Achilles)
You will not be more than a rat in the gutter
(So much more than a rat)
You want my opinion, my opinion you’ve got
(No one asked your opinion)
You asked for my counsel, I gave you my thoughts
(No one asked for your thoughts)
Be done with this now and jump off the roof
(Be done with this now and get off the roof)
Can you hear me, Achilles? I'm talking to you
I'm talking to you
I'm talking to you
I'm talking to you
Achilles, come down
Achilles, come down

[Sample]
Celle du oui et celle du non. Ce serait trop beau. Mais il faut faire la part de ceux qui, sans conclure, interrogent toujours. Ici, j'ironise à peine : il s'agit de la majorité. Je vois également que ceux qui répondent non agissent comme s'ils pensaient oui. De fait-

[Pre-Chorus]
Throw yourself into the unknown
With pace and a fury defiant
Clothe yourself in beauty untold
And see life as a means to a triumph
[Chorus]
Today, of all days, see
How the most dangerous thing is to love
How you will heal and you'll rise above
Crowned by an overture bold and beyond
Ah, it's more courageous to overcome",0.08882275132275132,0.45512566137566135
Adore U,Khalid,"[Verse 1]
Started on two different pages, I'm happy we made it
You say that you're broken, I'm the one who saves you
Thousand miles apart and God knows that I hate it
Nothing hurts me more than when we're separated

[Pre-Chorus]
Thousand miles apart and you're still in my heart
Can we take it back? I'm waiting at the start
Fly me to the moon and now I'm seeing stars
When we touch, hmm
Feels like

[Chorus]
High, we should just smoke
We should get high, we should just
(Fall into my arms, let me adore you)
High, we should just float
If you can fly, we should just
(Fall into my arms, let mе adore you)

[Verse 2]
I see that look in your eyes
I'll do whatеver you like
Sit back and I'll fantasize
Feels like I'm falling for you
I know you don't open up (Up)
I wanna fight for your trust (Your trust)
Why don't we focus on us?
Baby, I'd die for your love

[Pre-Chorus]
Thousand miles apart and you're still in my heart (You're still in my heart)
Can we take it back? I'm waiting at the start (Waiting at the start)
Fly me to the moon and now I'm seeing stars (Oh)
When we touch (Touch, touch)
(Feels) Feels like

[Chorus]
High, we should just smoke
We should get high, we should just
(Fall into my arms, let me adore you)
High, we should just float
If you can fly, we should just (Yeah, feels like)
(Fall into my arms, let me adore you)
High, we should just smoke (Oh)
We should get high, we should just (Yeah)
(Fall into my arms, let me adore you)
High, we should just float
(Do you trust in me like I do?)
If you can fly, we should just
(Do you trust in me like I do?)

[Bridge]
(Know I do) Adore you
(Do you trust in me like I do?)
Just can't help myself (Yeah)
Yeah, yeah, yeah, yeah, yeah (Fly)
(Yeah, oh)

[Chorus]
High, we should just smoke
We should get high, we should just (Yeah, oh)
(Fall into my arms, let me adore you)
High, we should just float
If you can fly, we should just

[Outro]
(Oh, yeah, yeah)
(Yeah, yeah, yeah, yeah)",0.28,0.5958620689655171
ilomilo,MBNN,"[Verse 1]
Told you not to worry
But maybe that's a lie
Honey, what's your hurry?
Won't you stay inside?
Remember not to get too close to stars
They're never gonna give you love like ours

[Chorus]
Where did you go?
I should know, but it's cold
And I don't wanna be lonely
So show me the way home
I can't lose another life

[Verse 2]
The world's a little blurry
Or maybe it's my eyes
The friends I've had to bury
They keep me up at night
Said I couldn't love someone
'Cause I might break
If you're gonna die, not by mistake

[Chorus]
So, where did you go?
I should know, but it's cold
And I don't wanna be lonely
So tell me you'll come home
Even if it's just a lie

[Outro]
I tried not to upset you
Let you rescue me the day I met you
I just wanted to protect you
But now I'll never get to",-0.08392857142857142,0.7285714285714286
Sahiba,Aditya Rikhari,"[Aditya Rikhari ""Sahiba"" के बोल]

[Intro]
साहिबा, आये घर काहे ना? ऐसे तो सताये ना
देखू तुझो, चैन आता है

[Chorus]
साहिबा, नींदे-वींदे आये ना, रातें काटी जाये ना
तेरा ही  खयाल दिन-रैन आता है

[Verse 1]
साहिबा, समुंदर, मेरी आँखों में रह गये
हम आते-आते जाना, तेरी यादों में रह गये
ये पलकें गवाही हैं, हम रातों में रह गये
जो वादे किये सारे, बस बातों में रह गये
बातों-बातों में ही, ख्वाबों-ख्वाबों में ही मेरे करीब है तू
तेरी तलब मुझको, तेरी तलब, जाना, हो तो कभी रू-ब-रू
शोर-शराबा जो सीने में है तेरे, कैसे बयान मैं करूँ?
हाल जो मेरा है, मैं किसको बताऊँ?
मेरे साहिबा, दिल न किराये का, थोड़ा तो संभालो ना
नाज़ुक है ये, टूट जाता है

[Chorus]
साहिबा, नींदे-वींदे आये ना, रातें काटी जाये ना
तेरा ही  खयाल दिन-रैन आता है

[Verse 2]
कैसे भला, शब होगी वो, संग जो तेरे ढलती है?
दिल को कोई, ख्वाहिश नहीं, तेरी कमी खलती है
आराम न अब आँखों को, ख्वाब भी ना, बदलती है
दिल को कोई, ख्वाहिश नहीं, तेरी कमी जाना, खलती है

[Refrain]
साहिबा, तू ही मेरा आईना, हाथों में भी मेरे, हाँ
तेरा ही नसीब आता है

[Chorus]
साहिबा, नींदे-वींदे आये ना, रातें काटी जाये ना
तेरा ही  खयाल दिन-रैन आता है
साहिबा, नींदे-वींदे आये ना, रातें काटी जाये ना
तेरा ही  खयाल दिन-रैन आता, है",0.0,0.0
